Readcode;Disease;Medcode;ReadcodeDescr;Category;CodingSystem;Provenance
1B75.00;Visual impairment and blindness;3268;Loss of vision;Diagnosis of blindness;NA;Kuan
2B69.00;Visual impairment and blindness;33015;O/E -R-eye counts fingers only;NA;readcode;Cambridge
2B6A.00;Visual impairment and blindness;26722;O/E-R-eye perceives light only;NA;readcode;Cambridge
2B6A.11;Visual impairment and blindness;10388;O/E - blind R-eye;Diagnosis of blindness;NA;Kuan
2B6B.00;Visual impairment and blindness;33014;O/E - R-eye completely blind;Diagnosis of blindness;readcode;Kuan and Cambridge
2B6C.00;Visual impairment and blindness;45030;O/E - R-eye sees hand movements;NA;readcode;Cambridge
2B6P.00;Visual impairment and blindness;48983;O/E - pinhole R-eye sees hand movements;NA;readcode;Cambridge
2B6Q.00;Visual impairment and blindness;47158;O/E - pinhole R-eye counts fingers only;NA;readcode;Cambridge
2B6R.00;Visual impairment and blindness;41060;O/E - pinhole R-eye perceives light only;NA;readcode;Cambridge
2B6S.00;Visual impairment and blindness;51274;O/E - pinhole R-eye completely blind;Diagnosis of blindness;readcode;Kuan and Cambridge
2B6T.00;Visual impairment and blindness;45786;O/E - R-eye visual acuity (corrected) 1/60;NA;readcode;Cambridge
2B6V.00;Visual impairment and blindness;47911;O/E - R-eye visual acuity (corrected) 2/60;NA;readcode;Cambridge
2B6W.00;Visual impairment and blindness;38166;O/E - R-eye visual acuity (corrected) 4/60;NA;readcode;Cambridge
2B6X.00;Visual impairment and blindness;66391;O/E - R-eye visual acuity (corrected) 5/60;NA;readcode;Cambridge
2B79.00;Visual impairment and blindness;35515;O/E -L-eye counts fingers only;NA;readcode;Cambridge
2B7A.00;Visual impairment and blindness;38167;O/E-L-eye perceives light only;NA;readcode;Cambridge
2B7A.11;Visual impairment and blindness;3852;O/E - blind L-eye;Diagnosis of blindness;NA;Kuan
2B7B.00;Visual impairment and blindness;33016;O/E - L-eye completely blind;Diagnosis of blindness;readcode;Kuan and Cambridge
2B7C.00;Visual impairment and blindness;33017;O/E - L-eye sees hand movements;NA;readcode;Cambridge
2B7P.00;Visual impairment and blindness;50925;O/E - pinhole L-eye sees hand movements;NA;readcode;Cambridge
2B7Q.00;Visual impairment and blindness;49283;O/E - pinhole L-eye counts fingers only;NA;readcode;Cambridge
2B7R.00;Visual impairment and blindness;54514;O/E - pinhole L-eye perceives light only;NA;readcode;Cambridge
2B7S.00;Visual impairment and blindness;54513;O/E - pinhole L-eye completely blind;Diagnosis of blindness;readcode;Kuan and Cambridge
2B7T.00;Visual impairment and blindness;47912;O/E - L-eye visual acuity (corrected) 1/60;NA;readcode;Cambridge
2B7V.00;Visual impairment and blindness;60032;O/E - L-eye visual acuity (corrected) 2/60;NA;readcode;Cambridge
2B7W.00;Visual impairment and blindness;38168;O/E - L-eye visual acuity (corrected) 4/60;NA;readcode;Cambridge
2B7X.00;Visual impairment and blindness;65569;O/E - L-eye visual acuity (corrected) 5/60;NA;readcode;Cambridge
2BBo.00;Visual impairment and blindness;52630;O/E - sight threatening diabetic retinopathy;Diagnosis of blindness;NA;Kuan
2BBr.00;Visual impairment and blindness;101881;Impaired vision due to diabetic retinopathy;Diagnosis of blindness;NA;Kuan
6688;Visual impairment and blindness;2746;Registered partially sighted;Diagnosis of blindness;NA;Kuan
6688.00;Visual impairment and blindness;2746;Registered partially sighted;NA;readcode;Cambridge
6688.11;Visual impairment and blindness;6768;Registered partially blind;Diagnosis of blindness;readcode;Kuan and Cambridge
6689;Visual impairment and blindness;510;Registered blind;Diagnosis of blindness;NA;Kuan
6689.00;Visual impairment and blindness;510;Registered blind;NA;readcode;Cambridge
6689.11;Visual impairment and blindness;101051;Registered severely sight impaired;Diagnosis of blindness;readcode;Kuan and Cambridge
668B.00;Visual impairment and blindness;555;Poor visual acuity;NA;readcode;Cambridge
668C.00;Visual impairment and blindness;13152;Certificate of vision impairment;NA;readcode;Cambridge
668D.00;Visual impairment and blindness;100999;Registered sight impaired;Diagnosis of blindness;readcode;Kuan and Cambridge
8F6..11;Visual impairment and blindness;55846;Blind rehabilitation;Diagnosis of blindness;NA;Kuan
8F61.00;Visual impairment and blindness;67126;Blind rehabilitation;Diagnosis of blindness;NA;Kuan
8F62.00;Visual impairment and blindness;91521;Blind lead dog rehabilitation;Diagnosis of blindness;NA;Kuan
8HlE.00;Visual impairment and blindness;98935;Referral to visual impairment multidisciplinary team;Diagnosis of blindness;NA;Kuan
9m08.00;Visual impairment and blindness;106329;Excluded from diabetic retinopathy screening as blind;Diagnosis of blindness;NA;Kuan
9NfB.00;Visual impairment and blindness;105795;Requires deafblind communicator guide;Diagnosis of blindness;NA;Kuan
9NlD.00;Visual impairment and blindness;98226;Seen by visual impairment teacher;Diagnosis of blindness;NA;Kuan
F404100;Visual impairment and blindness;10868;Blind hypotensive eye;Diagnosis of blindness;readcode;Kuan and Cambridge
F404200;Visual impairment and blindness;37086;Blind hypertensive eye;Diagnosis of blindness;readcode;Kuan and Cambridge
F49..00;Visual impairment and blindness;8367;Blindness and low vision;Diagnosis of blindness;readcode;Kuan and Cambridge
F49..11;Visual impairment and blindness;6020;Impaired vision;Diagnosis of blindness;readcode;Kuan and Cambridge
F49..12;Visual impairment and blindness;12493;Low vision;NA;readcode;Cambridge
F49..13;Visual impairment and blindness;3976;Partial sight;Diagnosis of blindness;readcode;Kuan and Cambridge
F49..14;Visual impairment and blindness;9645;Sight impaired;Diagnosis of blindness;readcode;Kuan and Cambridge
F490.00;Visual impairment and blindness;1990;Blindness, both eyes;Diagnosis of blindness;readcode;Kuan and Cambridge
F490000;Visual impairment and blindness;55108;Unspecified blindness both eyes;Diagnosis of blindness;readcode;Kuan and Cambridge
F490100;Visual impairment and blindness;55436;Both eyes total visual impairment;Diagnosis of blindness;readcode;Kuan and Cambridge
