Disease,ICD10code,ICD10codeDescr,Category,OPCS4code,OPCS4codeDescr
Abdominal aortic aneurysm,I714,"Abdominal aortic aneurysm, without mention of rupture",AAA without leak or rupture,NA,NA
Abdominal aortic aneurysm,I716,"Thoracoabdominal aortic aneurysm, without mention of rupture",AAA without leak or rupture,NA,NA
Abdominal aortic aneurysm,I719,"Aortic aneurysm of unspecified site, without mention of rupture",AAA without leak or rupture,NA,NA
Alcohol Problems,F10.1,Mental and behavioural disorders due to use of alcohol - Harmful use,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,F10.2,Mental and behavioural disorders due to use of alcohol - Dependence syndrome,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,F10.3,Mental and behavioural disorders due to use of alcohol - Withdrawal state,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,F10.4,Mental and behavioural disorders due to use of alcohol - Withdrawal state with delirium,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,F10.5,Mental and behavioural disorders due to use of alcohol - Psychotic disorder,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,F10.6,Mental and behavioural disorders due to use of alcohol - Amnesic syndrome,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,F10.7,Mental and behavioural disorders due to use of alcohol - Residual and late-onset psychotic disorder,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,F10.8,Mental and behavioural disorders due to use of alcohol - Other mental and behavioural disorders,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,F10.9,Mental and behavioural disorders due to use of alcohol - Unspecified mental and behavioural disorder,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,E24.4,Alcohol-induced pseudo-Cushing's syndrome,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,G31.2,Degeneration of nervous system due to alcohol,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,G62.1,Alcoholic polyneuropathy,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,G72.1,Alcoholic myopathy,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,I42.6,Alcoholic cardiomyopathy,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,K29.2,Alcoholic gastritis,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,K70,Alcoholic liver disease,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,K85.2,Alcohol-induced acute pancreatitis,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,K86.0,Alcohol-induced chronic pancreatitis,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,Z50.2,Alcohol rehabilitation,Diagnosis of Alcohol Problems,NA,NA
Alcohol Problems,Z71.4,Alcohol abuse counselling and surveillance,Diagnosis of Alcohol Problems,NA,NA
Alcoholic liver disease,K70,Alcoholic liver disease,Diagnosis of Alcoholic liver disease,NA,NA
Allergic and chronic rhinitis,J30.1,Allergic rhinitis due to pollen,Diagnosis of Allergic and chronic rhinitis,NA,NA
Allergic and chronic rhinitis,J30.2,Other seasonal allergic rhinitis,Diagnosis of Allergic and chronic rhinitis,NA,NA
Allergic and chronic rhinitis,J30.3,Other allergic rhinitis,Diagnosis of Allergic and chronic rhinitis,NA,NA
Allergic and chronic rhinitis,J30.4,"Allergic rhinitis, unspecified",Diagnosis of Allergic and chronic rhinitis,NA,NA
Allergic and chronic rhinitis,J31.0,Chronic rhinitis,Diagnosis of Allergic and chronic rhinitis,NA,NA
Alopecia areata,L63,Alopecia areata,Diagnosis of Alopecia areata,NA,NA
Angiodysplasia of colon,K55.2,Angiodysplasia of colon,Diagnosis of Angiodysplasia of colon,NA,NA
Ankylosing spondylitis,M45,Ankylosing spondylitis,Diagnosis of Ankylosing spondylitis,NA,NA
Anorexia and bulimia nervosa,F50.0,Anorexia nervosa,Diagnosis of Anorexia and bulimia nervosa,NA,NA
Anorexia and bulimia nervosa,F50.1,Atypical anorexia nervosa,Diagnosis of Anorexia and bulimia nervosa,NA,NA
Anorexia and bulimia nervosa,F50.2,Bulimia nervosa,Diagnosis of Anorexia and bulimia nervosa,NA,NA
Anorexia and bulimia nervosa,F50.3,Atypical bulimia nervosa,Diagnosis of Anorexia and bulimia nervosa,NA,NA
Anxiety disorders,F40,Phobic anxiety disorders,Diagnosis of Anxiety disorders,NA,NA
Anxiety disorders,F41,Other anxiety disorders,Diagnosis of Anxiety disorders,NA,NA
Aplastic anaemias,D60,Acquired pure red cell aplasia [erythroblastopenia],Diagnosis of Aplastic anaemias,NA,NA
Aplastic anaemias,D61,Other aplastic anaemias,Diagnosis of Aplastic anaemias,NA,NA
Asbestosis,J61,Pneumoconiosis due to asbestos and other mineral fibres,Diagnosis of Asbestosis,NA,NA
Asthma,J45,Asthma,Diagnosis of Asthma,NA,NA
Asthma,J46,Status asthmaticus,Diagnosis of Asthma,NA,NA
